site_name,latitude,longitude,country,state,commodity,orebody_type,development_status,label_gold,ID_MUESTRA,lat,lon,Au_ppm,As_ppm,Cu_ppm,Fe_ppm,Sb_ppm,PROYECTO,FECHA_MUESTREO,elev,lithology,formation_age,formation,mag_anomaly,grav_anomaly,dist_fault,dist_river,watershed_id,infra_distance,slope,aspect,curvature,hillshade,elevation_percentile,twi,flow_accumulation,NDVI,Clay_Index,Iron_Index
Gold Mine 0,-4.3,-79.0,Colombia,Various,Gold,Vein,Producer,1,,,,,,,,,,,,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,
Gold Mine 1,-3.8,-78.0,Colombia,Various,Gold,Vein,Producer,1,,,,,,,,,,,,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,
Gold Mine 2,-3.3,-77.0,Colombia,Various,Gold,Vein,Producer,1,,,,,,,,,,,,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,
Gold Mine 3,-2.8,-76.0,Colombia,Various,Gold,Vein,Producer,1,,,,,,,,,,,,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,
Gold Mine 4,-2.3,-75.0,Colombia,Various,Gold,Vein,Producer,1,,,,,,,,,,,,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,
Gold Mine 5,-1.7999999999999998,-74.0,Colombia,Various,Gold,Vein,Producer,1,,,,,,,,,,,,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,
Gold Mine 6,-1.2999999999999998,-73.0,Colombia,Various,Gold,Vein,Producer,1,,,,,,,,,,,,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,
Gold Mine 7,-0.7999999999999998,-72.0,Colombia,Various,Gold,Vein,Producer,1,,,,,,,,,,,,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,
Gold Mine 8,-0.2999999999999998,-71.0,Colombia,Various,Gold,Vein,Producer,1,,,,,,,,,,,,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,
Gold Mine 9,0.20000000000000018,-70.0,Colombia,Various,Gold,Vein,Producer,1,,,,,,,,,,,,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,
,,,,,,,,0,1.0,7.897168805328972,-73.57577307510981,0.0035780811416965,0.0560767933957195,0.2848926456174481,1773.869302307623,0.5355603300069258,Proyecto_2,2020-01-01,,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,
